2022-07-23 00:55:53,591 {'Time': '2022-07-23T00:55:53.77482051Z', 'Protocol': 'TCP', 'Source': '54.207.152.68', 'Destination': '172.20.10.2', 'P_src': '5671', 'P_dst': '33412', 'event': 'Dos'}
2022-07-23 00:56:10,404 {'Time': '2022-07-23T00:56:09.893650946Z', 'Protocol': 'TCP', 'Source': '172.20.10.2', 'Destination': '54.207.152.68', 'P_src': '33412', 'P_dst': '5671', 'event': 'Dos'}
2022-07-23 00:58:15,625 {'Time': '2022-07-23T00:58:15.112021837Z', 'Protocol': 'TCP', 'Source': '54.207.152.68', 'Destination': '172.20.10.2', 'P_src': '5671', 'P_dst': '33412', 'event': 'Dos'}
2022-07-23 00:58:15,626 {'Time': '2022-07-23T00:58:15.118343226Z', 'Protocol': 'TCP', 'Source': '54.207.152.68', 'Destination': '172.20.10.2', 'P_src': '5671', 'P_dst': '33412', 'event': 'Dos'}
2022-07-23 00:58:15,626 {'Time': '2022-07-23T00:58:15.118343330Z', 'Protocol': 'TCP', 'Source': '54.207.152.68', 'Destination': '172.20.10.2', 'P_src': '5671', 'P_dst': '33412', 'event': 'Dos'}
2022-07-23 00:58:46,386 {'Time': '2022-07-23T00:58:45.591851400Z', 'Protocol': 'UDP', 'Source': '172.20.10.2', 'Destination': '172.217.18.226', 'P_src': '36391', 'P_dst': '443', 'event': 'Dos'}
2022-07-23 00:58:46,388 {'Time': '2022-07-23T00:58:45.599056669Z', 'Protocol': 'UDP', 'Source': '172.20.10.2', 'Destination': '104.18.18.126', 'P_src': '47268', 'P_dst': '443', 'event': 'Dos'}
2022-07-23 00:58:50,253 {'Time': '2022-07-23T00:58:49.578143219Z', 'Protocol': 'UDP', 'Source': '172.217.171.225', 'Destination': '172.20.10.2', 'P_src': '443', 'P_dst': '55622', 'event': 'Dos'}
2022-07-23 00:58:50,255 {'Time': '2022-07-23T00:58:49.579873985Z', 'Protocol': 'UDP', 'Source': '172.217.171.225', 'Destination': '172.20.10.2', 'P_src': '443', 'P_dst': '55622', 'event': 'Dos'}
