2022-08-02 10:20:16,339 {'Time': '2022-08-02T10:19:51.98615532Z', 'Protocol': 'TCP', 'Source': '171.242.57.125', 'Destination': '192.168.137.247', 'P_src': '63545', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:17,231 {'Time': '2022-08-02T10:19:51.585557460Z', 'Protocol': 'TCP', 'Source': '241.135.139.104', 'Destination': '192.168.137.247', 'P_src': '64915', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:17,232 {'Time': '2022-08-02T10:19:51.585580497Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '241.135.139.104', 'P_src': '80', 'P_dst': '64915', 'event': 'Dos'}
2022-08-02 10:20:17,678 {'Time': '2022-08-02T10:19:52.83011103Z', 'Protocol': 'TCP', 'Source': '65.100.158.55', 'Destination': '192.168.137.247', 'P_src': '65520', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:19,123 {'Time': '2022-08-02T10:19:52.596837982Z', 'Protocol': 'TCP', 'Source': '66.65.108.100', 'Destination': '192.168.137.247', 'P_src': '2007', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:19,124 {'Time': '2022-08-02T10:19:52.596859593Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '66.65.108.100', 'P_src': '80', 'P_dst': '2007', 'event': 'Dos'}
2022-08-02 10:20:19,125 {'Time': '2022-08-02T10:19:52.596838096Z', 'Protocol': 'TCP', 'Source': '106.43.198.51', 'Destination': '192.168.137.247', 'P_src': '2008', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:19,126 {'Time': '2022-08-02T10:19:52.596882677Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '106.43.198.51', 'P_src': '80', 'P_dst': '2008', 'event': 'Dos'}
2022-08-02 10:20:19,127 {'Time': '2022-08-02T10:19:52.596838142Z', 'Protocol': 'TCP', 'Source': '139.11.31.22', 'Destination': '192.168.137.247', 'P_src': '2009', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:19,128 {'Time': '2022-08-02T10:19:52.596890206Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '139.11.31.22', 'P_src': '80', 'P_dst': '2009', 'event': 'Dos'}
2022-08-02 10:20:19,129 {'Time': '2022-08-02T10:19:52.596838186Z', 'Protocol': 'TCP', 'Source': '73.101.198.77', 'Destination': '192.168.137.247', 'P_src': '2010', 'P_dst': '80', 'event': 'Dos'}
